,Year,mesatop_arable_area_1,mesatop_cal_produced_1,drainage_arable_area_1,drainage_cal_produced_1,total_arable_area_1,total_cal_produced_1,cal_per_mt_1,cal_per_drainage_1,cal_per_ha_1,pop_1,pop_cal_needs_1,cal_difference_with_seed_1
73,772,77.65348419,185961770.2,3.450995551,5279147.787,81.10447974,191240918,2364040,1535135,2326423.1,67,35015071,108415617.5
74,773,77.43064846,216370315.7,0.975363667,1665144.334,78.40601213,218035460,2794715,1696555,2781894.557,66,34492458,129034137
75,774,23.33941779,62482257.52,0.017172154,33942.41925,23.35658995,62516199.94,2471560,1981175,2471273.561,66,34492458,12394691.95
76,775,74.15458805,129490299.7,0.965218951,1976897.061,75.119807,131467196.8,1743140,2071195,1747784.467,65,33969845,64630552.6
77,776,76.08359114,135302599.2,0.976017313,2013448.988,77.05960845,137316048.2,1935570,2080925,1936045.089,65,33969845,69017191.14
78,777,74.07040635,171213777.4,0.977717815,1653241.673,75.04812416,172867019.1,2270695,1666980,2261953.871,64,33447232,96203032.33
79,778,49.94110315,77824393.11,0.510326893,1125891.607,50.45143005,78950284.72,1619695,2202620,1624939.204,64,33447232,25765481.54
80,779,0,0,0,0,0,0,0,0,0,63,32924619,-32924619
81,780,71.90768842,176389318.8,0.964404344,2110522.183,72.87209277,178499841,2481535,2205525,2477258.411,63,32924619,100950261.7
82,781,76.34759029,128546088.1,0.949816858,1717778.878,77.29740715,130263867,1780205,1796935,1779428.258,62,32402006,65295894.25
83,782,73.89777557,166810308.5,0.147249637,309150.9285,74.0450252,167119459.5,2308845,2106370,2308282.355,61,31879393,93460201.61
84,783,75.61102245,176459884.9,3.346640376,8026076.059,78.95766282,184485961,2244095,2312240,2258759.972,61,31879393,106485077.7
85,784,74.93405249,147698102.9,3.253378827,5231027.138,78.18743131,152929130,1957375,1634570,1943554.906,60,31356780,83340067.54
86,785,73.14674217,144865023.8,3.387251273,7647609.905,76.53399344,152512633.7,1907605,2254385,1930647.195,59,30834167,83550308.28
87,786,73.96556997,171121391.5,0.954036896,2052321.619,74.91960687,173173713.1,2384550,2146340,2378885.405,59,30834167,99046117.83
88,787,72.80382159,157769613.6,0.937142301,1597598.338,73.74096389,159367211.9,2125095,1700405,2121325.124,58,30311554,89213854.93
89,788,72.87682861,153728382.2,0.976855354,1978911.095,73.85368397,155707293.3,2023175,2014495,2024030.066,57,29788941,86991528.94
90,789,77.23063752,169399298.3,0.96296441,1833659.466,78.19360193,171232957.7,2209060,1892345,2204084.753,57,29788941,98635777.29
91,790,24.36464449,41214637.72,0.017190315,32512.9602,24.38183481,41247150.68,1707020,1876910,1707140.919,56,29266328,1669035.01
92,791,53.65063244,146178204.1,0.0702338,107764.6579,53.72086624,146285968.8,2694755,1556905,2693366.218,55,28743715,80970761.56
93,792,74.3518375,176920557.5,0.936448936,1799164.27,75.28828644,178719721.8,2509815,1950445,2501373.807,55,28743715,105296076.3
94,793,74.8868782,150496655,0.982175179,1920177.884,75.86905338,152416832.9,2042285,1911735,2041494.89,54,28221102,86091522.65
95,794,74.19083358,137290807.9,3.372934264,7270670.117,77.56376785,144561478,1885660,2173990,1896559.686,53,27698489,80722619.52
96,795,73.55935648,172536741.4,0.967640933,1927905.272,74.52699741,174464646.6,2296210,1982960,2292392.215,52,27175876,103672609
97,796,25.46900598,63874357.69,0.026587351,38084.44479,25.49559334,63912442.13,2580480,1406965,2579146.07,51,26653263,21281068.6
98,797,76.7414485,213108402,0.95643919,1708880.447,77.69788769,214817282.5,2931810,1790075,2914004.37,50,26130650,134982311.9
99,798,59.3869471,87912592.92,0.132227625,294270.306,59.51917472,88206863.22,1490475,2203355,1492046.495,49,25608037,40547110.42
100,799,80.47572595,234496953.9,0.15029317,258468.6376,80.62601912,234755422.5,2895375,1721510,2893261.28,48,25085424,150981142.9
101,800,78.89875877,218330794.5,3.376903219,5991989.657,82.27566199,224322784.1,2728600,1768550,2690145.379,47,24562811,143679277.1
102,801,77.04205007,138500937.5,0.948153491,1831612.767,77.99020356,140332550.3,1650075,1916775,1656478.702,46,24040198,81209214.74
103,802,78.87372634,179528441.6,0.954388551,1740439.948,79.82811489,181268881.5,2255330,1777230,2248493.611,45,23517585,112434076.1
104,803,77.65774214,139507190,3.366284166,6773421.952,81.02402631,146280611.9,1842225,2006270,1849713.146,44,22994972,86715486.94
105,804,25.79680998,51251984.57,0.026818699,47729.96058,25.82362868,51299714.53,2030875,1803900,2030515.359,43,22472359,16002426.9
106,805,75.4383421,152391994.4,0.972908453,1729728.512,76.41125056,154121723,2160550,1790670,2152892.762,42,21949746,93641546.22
107,806,80.55160861,149603802.4,0.992777681,1711755.43,81.54438629,151315557.8,1862140,1768060,1859469.149,41,21427133,92059535.38
108,807,81.07915049,186394504.9,3.372741697,6603429.354,84.45189218,192997934.3,2390080,1966510,2370979.984,40,20904520,123843930.7
109,808,0,0,0,0,0,0,0,0,0,39,20381907,-20381907
110,809,0,0,0,0,0,0,0,0,0,38,19859294,-19859294
111,810,0,0,0,0,0,0,0,0,0,38,19859294,-19859294
112,811,81.40235172,264989394.6,0.955700343,1730799.529,82.35805207,266720194.1,3047240,1837150,3036025.622,37,19336681,180703464.6
113,812,78.73746827,128181529.9,3.37991802,7716598.937,82.11738629,135898128.8,1664670,2319345,1686222.686,36,18814068,83109528.62
114,813,78.7908576,197702467.2,0.958244007,1897003.028,79.74910161,199599470.2,2493050,1996995,2486886.409,36,18814068,130885534.7
115,814,77.06844454,202321127.8,3.382899253,7171494.927,80.45134379,209492622.8,2482865,2129400,2474001.777,35,18291455,138828012.1
116,815,77.91305267,142581781.3,0.957471899,1977075.956,78.87052457,144558857.3,1902285,2036160,1904111.556,34,17768842,90650300.96
117,816,78.80899803,186214633.9,0.96658987,1886563.99,79.7755879,188101197.9,2448320,1948450,2439584.28,34,17768842,123307056.4
118,817,26.39508079,58900964.6,0.026224782,54197.06545,26.42130557,58955161.66,2321270,2050790,2320881.428,33,17246229,26970142.25
119,818,77.36480692,204720036.3,3.363020923,6351642.847,80.72782784,211071679.2,2563120,1903545,2536698.261,32,16723616,141580143.4
120,819,0,0,0,0,0,0,0,0,0,32,16723616,-16723616
121,820,80.41482581,138145696.7,3.346211471,4800729.647,83.76103728,142946426.3,1836835,1457505,1814297.962,31,16201003,91008816.75
122,821,81.15281636,170687824,3.428222876,5714551.591,84.58103924,176402375.5,2032555,1754690,2017429.681,31,16201003,116100778.7
123,822,80.2155701,141699550.8,3.435386784,7442306.097,83.65095688,149141856.9,1691235,2179695,1712852.005,30,15678390,96178002.7
124,823,61.51559975,114254663.5,0.129236265,268811.7106,61.64483602,114523475.3,1912645,2092895,1912920.353,29,15155777,70736829.44
125,824,81.22372212,138776373.8,3.453568136,5983108.557,84.67729026,144759482.3,1676920,1734495,1681740.218,29,15155777,93413834.76
126,825,77.5163283,172827491.4,0.969553146,2176127.859,78.48588144,175003619.2,2326205,2272340,2325023.492,29,15155777,116096937.4
127,826,79.91637328,154819071.7,3.341549629,5268490.052,83.25792291,160087561.7,1974245,1592430,1959400.047,28,14633164,105432507.3
128,827,79.70436627,127097527.6,3.398240607,6398899.879,83.10260688,133496427.5,1572830,1884645,1590682.01,28,14633164,85489156.59
129,828,81.67114557,231901882.2,3.378879552,6732485.587,85.05002512,238634367.8,2893485,2017435,2857496.679,28,14633164,164342611.8
130,829,79.59139608,173267167.4,3.408060307,6511378.479,82.99945639,179778545.8,2173465,1936830,2160285.606,27,14110551,120723358.4
131,830,80.15268941,178614448,3.371165131,5868372.089,83.52385454,184482820.1,2296770,1671355,2272764.753,27,14110551,124251564
132,831,81.84561512,174059518,3.38721558,6337581.232,85.2328307,180397099.3,2267055,1875090,2246710.373,26,13587938,121709886.4
133,832,82.75758308,156135572.1,3.411162396,7028094.733,86.16874547,163163666.8,1849680,2046695,1861150.135,26,13587938,108784812.1
134,833,78.82855171,102462379.5,3.464760466,7646827.54,82.29331218,110109207.1,1386490,2184385,1425037.935,26,13587938,68993967.29
135,834,78.4261446,126933142,3.374376897,7507279.179,81.8005215,134440421.2,1561490,2222185,1598146.706,26,13587938,87242377.87
136,835,78.59095621,220680991.6,3.377597484,5678755.261,81.96855369,226359746.9,2790200,1699145,2747392.107,25,13065325,156704485.2
137,836,79.50400306,133222749.2,0.963738943,2165496.977,80.467742,135388246.1,1566775,2211020,1576947.795,25,13065325,88475859.6
138,837,81.44982896,143278348.8,0.968853092,2261369.026,82.41868205,145539717.8,1708455,2289840,1716571.787,25,13065325,96089463.37
139,838,78.37454419,215533984.7,3.389756723,6837408.185,81.76430092,222371392.9,2712010,2009175,2683106.77,25,13065325,153713219.7
140,839,81.11635146,190549455.5,3.376441726,7016885.066,84.49279318,197566340.5,2259180,2063180,2253334.94,24,12542712,135632043.4
141,840,77.37380619,244882479.1,3.458728438,6443311.181,80.83253463,251325790.3,3097955,1854265,3044173.546,24,12542712,175951630.7
142,841,77.17310966,163609842.8,0.966594284,2189752.974,78.13970395,165799595.8,2127020,2248435,2129782.542,24,12542712,111806984.8
143,842,79.43260501,224609589.6,3.389287855,6272749.717,82.82189287,230882339.3,2853900,1863225,2814124.796,24,12542712,160619042.5
144,843,78.70903851,129868813.6,3.338714897,5741645.894,82.04775341,135610459.5,1721090,1705515,1714385.049,24,12542712,89165132.66
145,844,77.7051023,138462951.4,3.465969202,6710286.812,81.1710715,145173238.2,1781360,1917055,1786397.045,25,13065325,95814603.64
146,845,82.34575419,198117217.4,3.317857147,6464362.444,85.66361134,204581579.9,2381365,1936480,2363818.287,25,13065325,140370859.9
147,846,76.55792775,196467683,3.351522487,6419272.982,79.90945024,202886956,2606765,1940785,2573899.875,25,13065325,139099892
148,847,77.20047117,193825721.9,0.148420042,344658.5211,77.34889121,194170380.5,2387420,2313920,2387698.803,26,13587938,132039847.4
149,848,80.28979033,156156372.9,3.31179215,5612407.946,83.60158248,161768780.9,1959230,1696065,1958427.965,26,13587938,107738647.7
150,849,78.89671378,178879569.7,0.963162388,1910961.678,79.85987616,180790531.4,2339015,1909670,2331517.378,26,13587938,122004960.5
151,850,78.04096436,163787717.5,3.351430936,7039990.526,81.3923953,170827708,2329950,2132200,2306370.109,27,14110551,114010230
152,851,74.74204413,201380322.6,0.960450124,1506673.934,75.70249425,202886996.5,2634030,1555645,2619570.226,27,14110551,138054696.4
153,852,80.63878477,203498652.8,0.942251581,1921992.759,81.58103635,205420645.5,2512650,2008860,2506454.635,28,14633164,139432320.1
154,853,83.7824744,190002451.5,0.975607499,1975942.052,84.7580819,191978393.5,2189180,1994440,2188663.365,28,14633164,129350631.1
155,854,74.84514134,129037588.8,0.92782966,1587218.158,75.772971,130624806.9,1764735,1723855,1763402.277,29,15155777,82812828.2
156,855,77.97226467,211274465.4,0.968796087,2093919.243,78.94106076,213368384.6,2713025,2112320,2707116.721,30,15678390,144347898.5
157,856,78.27232327,204024543.8,0.962860014,1899900.434,79.23518328,205924444.3,2632455,1984150,2622632.471,30,15678390,138764943.2
158,857,79.30514212,161418694,0.971183235,2059808.058,80.27632536,163478502.1,2028845,2107840,2028893.546,31,16201003,106407873.6
159,858,77.91552152,151367062.2,3.358054868,6670594.972,81.27357639,158037657.2,1974770,1990310,1972024.421,32,16723616,101804626.9
160,859,73.77640138,148919615.8,0.92878671,1490972.6,74.70518809,150410588.4,2002280,1624070,1997666.061,33,17246229,95561712.28
161,860,79.07489983,162655405.3,3.437798728,5770309.094,82.51269856,168425714.4,2090690,1674470,2068191.743,34,17768842,108550443.8
162,861,80.57735451,163047061.6,3.399471449,7418675.714,83.97682596,170465737.4,1982365,2153445,1991179.075,34,17768842,110080461
163,862,80.00932982,168459924.2,3.376118826,6038707.474,83.38544865,174498631.6,2149805,1811600,2132816.843,35,18291455,112582518.7
164,863,81.09669635,209915030.7,3.346662287,7450222.392,84.44335864,217365253.1,2503690,2211930,2499621.423,36,18814068,144209871.8
165,864,78.14681748,105847475.8,3.367856688,5981713.134,81.51467417,111829188.9,1423030,1791405,1437745.023,37,19336681,64535210.69
166,865,0,0,0,0,0,0,0,0,0,39,20381907,-20381907
167,866,78.39815983,148840246.5,3.39402178,7409728.395,81.79218161,156249974.9,2007005,2109275,2007881.557,40,20904520,96282961.18
168,867,79.4007159,213733811.2,0.149879901,339779.6566,79.5505958,214073590.9,2842875,2261420,2841494.471,41,21427133,139128060.2
169,868,68.98493035,167260873.2,2.623856549,5124745.964,71.6087869,172385619.2,2456510,1949255,2436313.16,43,22472359,106816855.4
170,869,82.11114273,161825197.7,0.94966111,1931126.031,83.06080384,163756323.7,1950935,2055445,1951584.937,44,22994972,99822270.81
171,870,78.28340853,214957535.5,3.303599204,5409187.711,81.58700773,220366723.2,2769270,1623230,2718722.874,46,24040198,141234844.4
172,871,78.93749344,137232880.9,0.97214021,1621699.703,79.90963365,138854580.6,1810795,1706075,1806454.808,48,25085424,79055511.42
173,872,77.74421611,158181207.3,0.973141148,2066416.523,78.71735726,160247623.8,2017575,2113965,2018457.241,50,26130650,94055067.85
174,873,78.71068819,250652799.4,3.447148503,5919771.2,82.1578367,256572570.6,3259620,1780625,3199631.611,51,26653263,165776165
175,874,78.32615004,146468286.1,3.350013168,6674824.116,81.67616321,153143110.2,1990940,1986285,1982051.559,53,27698489,87158843.63
176,875,79.76638149,177279733.3,0.955287831,1895892.611,80.72166932,179175625.9,2340555,2006235,2333477.841,55,28743715,105638004.5
177,876,79.66180715,213764717.7,3.344979665,6273455.202,83.00678682,220038172.9,2697870,1889755,2660092.964,57,29788941,135239688.7
178,877,77.74261745,171761841.9,3.349668829,6201837.434,81.09228628,177963679.3,2159010,1842330,2147526.621,59,30834167,102638592.5
179,878,81.2203,160965214.6,0.967630265,1562620.864,82.18793026,162527835.5,2085125,1643705,2077774.062,61,31879393,90016483.63
180,879,78.30753981,188903027,3.409394188,6018173.69,81.716934,194921200.6,2264045,1776425,2248181.183,62,32402006,113788894.5
181,880,77.44287182,111791002.9,3.395042152,5595476.634,80.83791397,117386479.5,1506505,1637615,1508069.824,64,33447232,54592627.64
182,881,74.88640447,181909813.5,3.420284632,7059529.664,78.3066891,188969343.2,2253300,2071615,2246261.985,66,34492458,107234549.4
183,882,59.29810101,141555130.5,2.464700958,4560776.675,61.76280197,146115907.2,2577575,1855840,2538749.991,67,35015071,74571859.39
184,883,74.03433425,145056306,0.988694732,1861191.523,75.02302898,146917497.5,2010330,1888075,2008494.635,69,36060297,74127826.13
185,884,75.97632195,191397280.1,0.144788978,302310.8151,76.12111093,191699591,2626540,2105460,2625247.593,70,36582910,107191783.2
186,885,76.19625883,153126576.1,3.456708179,6598435.883,79.65296701,159725012,1969975,1904700,1970496.078,72,37628136,82165623
187,886,48.94795689,169485376.1,0.500665445,990900.8504,49.44862233,170476277,3401335,1969590,3386353.334,74,38673362,89183845.74
188,887,76.01780762,172950438.2,3.367877707,5796775.865,79.38568533,178747214.1,2362500,1719865,2332682.03,76,39718588,94341822.58
189,888,76.28587026,203003678.3,3.432176406,7366507.537,79.71804667,210370185.9,2642220,2107980,2622019.829,78,40763814,117013825.4
190,889,74.73971197,185357348.8,0.959023388,1753311.28,75.69873536,187110660.1,2499770,1809430,2490851.912,80,41809040,98523955.06
191,890,81.56865008,165443374.7,3.40064625,6239552.819,84.96929633,171682927.5,2127335,1815205,2107836.167,82,42854266,85907929.62
192,891,75.96902566,150525313.3,3.387746754,7246261.753,79.35677241,157771575,1926050,2190370,1938820.164,84,43899492,74429189.27
193,892,76.33526777,165577500.4,3.33904801,6882126.395,79.67431578,172459626.8,2234785,2031855,2219358.669,86,44944718,84400002.11
194,893,60.60915533,140456692.4,2.709767036,5224379.03,63.31892236,145681071.5,2288580,1929620,2274559.726,88,45989944,63270859.59
195,894,75.81324321,185709101.5,3.395907769,6678850.052,79.20915098,192387951.5,2483845,1981175,2459836.598,90,47035170,97255793.66
196,895,78.63390581,152655577.8,3.452415178,7195830.326,82.08632099,159851408.1,2030035,2083760,2027494.568,92,48080396,71808160.08
197,896,60.20820078,136281345.9,2.594775198,4311316.721,62.80297598,140592662.6,2242310,1692250,2211163.552,94,49125622,56318874.97
198,897,61.14173737,143069551.4,0.696547739,1463472.932,61.83828511,144533024.3,2383920,2082920,2378961.199,96,50170848,58228920.25
199,898,76.93506054,152728009.5,0.97478694,1745953.923,77.90984748,154473963.4,2123415,1801135,2115785.371,97,50693461,65162011.57
200,899,76.87769302,180587385.4,3.410787282,6599600.992,80.28848031,187186986.4,2481815,1965075,2446363.854,99,51738687,88651552.83
201,900,59.9075832,123581177.6,0.713611941,1279825.892,60.62119514,124861003.5,1993390,1768060,1989726.223,101,52783913,40861839.61
202,901,71.87580384,146246948.2,0.948632864,1975151.445,72.8244367,148222099.6,1886360,2087680,1891735.618,103,53829139,57337435.73
203,902,76.18660714,197912670.8,3.398790883,6860469.649,79.58539803,204773140.5,2695665,1995805,2663302.046,104,54351752,99228103.35
204,903,13.88821532,27402399.51,0.016458549,32486.53794,13.90467387,27434886.05,2124150,1927205,2123854.685,106,55396978,-34820813.46
205,904,75.53064403,135753260,0.947327174,1602951.654,76.4779712,137356211.6,1846180,1654380,1843860.744,108,56442204,46574954.71
206,905,78.96772915,172163959.3,0.967603575,2033380.455,79.93533273,174197339.8,2176615,2073820,2175952.382,109,56964817,73683187.85
207,906,81.74745166,149439200.4,0.970116704,1807180.018,82.71756837,151246380.4,1849540,1854895,1849046.729,111,58010043,55424742.29
208,907,78.91295712,175390781.8,0.148954983,317855.7081,79.0619121,175708637.5,2240840,2112635,2240746.745,112,58532656,73248822.14
209,908,74.4539251,144652642.5,0.970799412,1821717.784,75.42472451,146474360.2,1934695,1904770,1936469.458,114,59577882,50277888.18
210,909,76.31192671,146147461.9,0.96586465,1839008.341,77.27779136,147986470.3,1889720,1885275,1891130.523,116,60623108,50366744.72
211,910,0,0,0,0,0,0,0,0,0,117,61145721,-61145721
212,911,72.31481214,138350057.9,3.384067999,6105256.676,75.69888014,144455314.6,1794065,1776320,1799303.678,119,62190947,46150538.96
213,912,75.22822002,161637652.9,3.441619006,7610758.201,78.66983903,169248411.1,2183860,2254840,2190288.244,120,62713560,64222748.35
214,913,76.74833819,151136248.4,3.390676256,6671212.919,80.13901445,157807461.3,1896475,1932420,1901929.45,122,63758786,54596809.98
215,914,77.25364682,108549332.4,3.430750921,6752469.527,80.68439774,115301801.9,1382430,1978200,1411862.287,123,64281399,22194952.46
